MetroArea,%Unemployed083120
Idaho Falls  ,2.7
Logan  ,2.7
ProvoOrem  ,3.4
Twin Falls  ,3.4
Pocatello  ,3.6
Ogden  ,3.7
Lincoln  ,3.8
Bismarck  ,3.9
Fargo  ,3.9
Gainesville  ,3.9
Boise City  ,4.1
Amarillo  ,4.2
  ,4.2
Sioux Falls  ,4.2
Burlington,4.3
Ames  ,4.4
Decatur  ,4.5
Omaha  ,4.5
Grand Forks  ,4.6
Huntsville  ,4.6
Warner   ,4.6
Wausau  ,4.6
Athens  ,4.7
College   ,4.7
Fond du Lac  ,4.7
  ,4.7
Salt Lake City  ,4.7
Coeur d'Alene  ,4.8
Abilene  ,4.9
Billings  ,4.9
Gainesville  ,4.9
Grand Island  ,4.9
Harrisonburg  ,4.9
Staunton  ,4.9
Winchester  ,4.9
Auburn  ,5
Fairbanks  ,5
Hinesville  ,5
Sheboygan  ,5
Sherman  ,5
Valdosta  ,5
Appleton  ,5.1
Cheyenne  ,5.1
Hilton Head   ,5.1
La Crosse  ,5.1
Madison  ,5.1
Oshkosh  ,5.1
Sioux City  ,5.1
Lexington Park  ,5.2
Columbia  ,5.2
Dalton  ,5.2
Daphne  ,5.2
Dothan  ,5.2
Lubbock  ,5.2
Panama City  ,5.2
Rapid City  ,5.2
Sierra   ,5.2
Augusta  ,5.3
Enid  ,5.3
Great Falls  ,5.3
Columbus  ,5.4
Florence  ,5.4
Missoula  ,5.4
Prescott  ,5.4
Waco  ,5.4
Austin  ,5.5
Blacksburg  ,5.5
Bloomington  ,5.5
Lawton  ,5.5
Oklahoma City  ,5.5
Pensacola  ,5.5
St. Joseph  ,5.5
Birmingham  ,5.6
Charlottesville  ,5.6
Fort Collins  ,5.6
Green Bay  ,5.6
Tallahassee  ,5.6
Bangor  ,5.7
Brunswick  ,5.7
Eau Claire  ,5.7
ville  ,5.7
Greenville  ,5.7
Boulder  ,5.8
Iowa City  ,5.8
Jacksonville  ,5.8
Columbia  ,5.9
Evansville  ,5.9
Jefferson City  ,5.9
Lynchburg  ,5.9
New Bern  ,5.9
Phoenix  ,5.9
Portsmouth  ,5.9
Rochester  ,5.9
Springfield  ,5.9
Tucson  ,5.9
Wichita Falls  ,5.9
Durham  ,6
Killeen  ,6
Lafayette  ,6
Macon  ,6
Roanoke  ,6
St. Cloud  ,6
San Angelo  ,6
Tyler  ,6
Alexandria  ,6.1
Columbus  ,6.1
DoverDurham  ,6.1
Elkhart  ,6.1
Mankato  ,6.1
Raleigh  ,6.1
State College  ,6.1
Tulsa  ,6.1
Cape Girardeau  ,6.2
Colorado Springs  ,6.2
Corvallis  ,6.2
Grand Junction  ,6.2
Palm Bay  ,6.2
Atlanta  ,6.3
Dallas  ,6.3
Dubuque  ,6.3
Goldsboro  ,6.3
Jacksonville  ,6.3
Sarasota  ,6.3
Ocala  ,6.3
Portland  ,6.3
Waterloo  ,6.3
Fort Wayne  ,6.4
Joplin  ,6.4
Manchester  ,6.4
Savannah  ,6.4
Wilmington  ,6.4
Albany  ,6.5
Des Moines  ,6.5
Indianapolis  ,6.5
Topeka  ,6.5
Tuscaloosa  ,6.5
Anchorage  ,6.6
Fort Smith  ,6.6
Greeley  ,6.6
Greenville  ,6.6
Jonesboro  ,6.6
Knoxville  ,6.6
Lexington  ,6.6
San Antonio  ,6.6
The Villages  ,6.6
Burlington  ,6.7
Chattanooga  ,6.7
Florence  ,6.7
Janesville  ,6.7
Auburn  ,6.7
