RegionID,MetroArea,StateAbv,HomeValue083118,HomeValue083119,HomeValue083120,HomeValueYOYChange
394913,New York,NY,472763,482521,493579,11058
753899,Los Angeles,CA,664473,667041,706714,39673
394463,Chicago,IL,237481,241845,246357,4512
394514,Dallas,TX,242554,251487,261739,10252
394974,Philadelphia,PA,240978,249646,262437,12791
394692,Houston,TX,208971,216266,222936,6670
395209,Washington,DC,419348,430247,452030,21783
394856,Miami,FL,289802,298270,310471,12201
394347,Atlanta,GA,224362,237785,251454,13669
394404,Boston,MA,483374,490414,514321,23907
395057,San Francisco,CA,1127552,1097124,1127066,29942
394532,Detroit,MI,172074,180681,188420,7739
395025,Riverside,CA,369733,379223,400664,21441
394976,Phoenix,AZ,267598,282522,312317,29795
395078,Seattle,WA,510827,512016,559226,47210
394865,Minneapolis,MN,278270,289665,305202,15537
395056,San Diego,CA,599785,608093,643903,35810
395121,St. Louis,MO,171767,178790,187795,9005
395148,Tampa,FL,216134,226629,242924,16295
394358,Baltimore,MD,290501,293849,302464,8615
394530,Denver,CO,427072,438701,458600,19899
394982,Pittsburgh,PA,152075,158960,167172,8212
394998,Portland,OR,402633,407812,429608,21796
394458,Charlotte,NC,219172,231445,249960,18515
395045,Sacramento,CA,410808,420558,444733,24175
395055,San Antonio,TX,196709,205488,211964,6476
394943,Orlando,FL,241019,252393,266005,13612
394466,Cincinnati,OH,174989,183889,197135,13246
394475,Cleveland,OH,149764,157796,168298,10502
394735,Kansas City,MO,193100,201914,214639,12725
394775,Las Vegas,NV,281829,290444,302071,11627
394492,Columbus,OH,195770,207798,222467,14669
394705,Indianapolis,IN,169300,178492,192677,14185
395059,San Jose,CA,1260704,1110249,1224366,114117
394355,Austin,TX,322991,336650,357346,20696
395194,Virginia Beach,VA,233644,240551,252041,11490
394902,Nashville,TN,263358,273577,289792,16215
395005,Providence,RI,307577,315253,333191,17938
394862,Milwaukee,WI,188582,197279,212166,14887
394714,Jacksonville,FL,220097,229759,240785,11026
394849,Memphis,TN,140990,151352,164254,12902
394935,Oklahoma City,OK,149231,155741,165014,9273
394807,Louisville,KY,170469,177706,189706,12000
394669,Hartford,CT,236218,237277,246821,9544
