RegionID,MetroArea,StateAbv,%PriceCut083118,%PriceCut083119,%PriceCut083120,%PriceCutYOYChange
394913,New York,NY,0.1449,0.1415,0.1211,-0.0204
753899,Los Angeles,CA,0.2187,0.1961,0.1299,-0.0662
394463,Chicago,IL,0.2591,0.2697,0.2198,-0.0499
394514,Dallas,TX,0.2528,0.2495,0.1654,-0.0841
394974,Philadelphia,PA,0.1945,0.179,0.1381,-0.0409
394692,Houston,TX,0.2406,0.2398,0.1801,-0.0597
395209,Washington,DC,0.2127,0.1851,0.1206,-0.0645
394856,Miami,FL,0.1471,0.1303,0.1173,-0.013
394347,Atlanta,GA,0.2004,0.2034,0.1323,-0.0711
394404,Boston,MA,0.1726,0.1693,0.1344,-0.0349
395057,San Francisco,CA,0.1452,0.169,0.1244,-0.0446
394532,Detroit,MI,0.2517,0.2585,0.1669,-0.0916
395025,Riverside,CA,0.2173,0.1992,0.0869,-0.1123
394976,Phoenix,AZ,0.2367,0.1842,0.1134,-0.0708
395078,Seattle,WA,0.2403,0.2221,0.1426,-0.0795
394865,Minneapolis,MN,0.2038,0.1946,0.1281,-0.0665
395056,San Diego,CA,0.2758,0.2307,0.1366,-0.0941
395121,St. Louis,MO,0.2191,0.2137,0.1496,-0.0641
395148,Tampa,FL,0.2413,0.2133,0.1671,-0.0462
394358,Baltimore,MD,0.2323,0.2241,0.1355,-0.0886
394530,Denver,CO,0.2703,0.2822,0.1845,-0.0977
394982,Pittsburgh,PA,0.2097,0.2155,0.1916,-0.0239
394998,Portland,OR,0.2819,0.2417,0.1539,-0.0878
394458,Charlotte,NC,0.2222,0.2275,0.1382,-0.0893
395045,Sacramento,CA,0.2706,0.2401,0.1254,-0.1147
395055,San Antonio,TX,0.2194,0.2238,0.1499,-0.0739
394943,Orlando,FL,0.2249,0.1986,0.1689,-0.0297
394466,Cincinnati,OH,0.2339,0.2168,0.1726,-0.0442
394475,Cleveland,OH,0.1899,0.1857,0.1316,-0.0541
394735,Kansas City,MO,0.1823,0.2153,0.1439,-0.0714
394775,Las Vegas,NV,0.2305,0.2439,0.1784,-0.0655
394492,Columbus,OH,0.26,0.2556,0.1665,-0.0891
394705,Indianapolis,IN,0.2535,0.2505,0.1791,-0.0714
395059,San Jose,CA,0.1755,0.2121,0.1439,-0.0682
394355,Austin,TX,0.2672,0.2418,0.1472,-0.0946
395194,Virginia Beach,VA,0.1935,0.1676,0.0859,-0.0817
394902,Nashville,TN,0.204,0.1735,0.115,-0.0585
395005,Providence,RI,0.1755,0.1633,0.0853,-0.078
394862,Milwaukee,WI,0.1943,0.1686,0.1114,-0.0572
394714,Jacksonville,FL,0.212,0.218,0.1572,-0.0608
394849,Memphis,TN,0.1649,0.1675,0.1271,-0.0404
394935,Oklahoma City,OK,0.2447,0.2287,0.1778,-0.0509
394807,Louisville,KY,0.2271,0.2468,0.1698,-0.077
394669,Hartford,CT,0.2072,0.2002,0.1355,-0.0647
395022,Richmond,VA,0.1885,0.2032,0.1082,-0.095
394910,New Orleans,LA,0.2022,0.2131,0.1525,-0.0606
394425,Buffalo,NY,0.2175,0.1976,0.1373,-0.0603
395012,Raleigh,NC,0.189,0.213,0.1347,-0.0783
394388,Birmingham,AL,0.1794,0.159,0.1339,-0.0251
395053,Salt Lake City,UT,0.2465,0.239,0.153,-0.086
395031,Rochester,NY,0.1939,0.1843,0.1237,-0.0606
394640,Grand Rapids,MI,0.2138,0.2095,0.1402,-0.0693
395167,Tucson,AZ,0.193,0.1752,0.1295,-0.0457
