RegionID,MetroArea,StateAbv,MeanPriceCut83118,MeanPriceCut83119,MeanPriceCut83120,MeanPriceCutYOYChange 
394913,New York,NY,25408.8244,23520.7025,30462.4178,6941.7153
753899,Los Angeles,CA,28837.8927,32635.0494,47435.7293,14800.6799
394463,Chicago,IL,10087.4209,9651.5142,11428.6288,1777.1146
394514,Dallas,TX,8675.4227,9163.4819,9981.7148,818.2329
394974,Philadelphia,PA,10300.4611,10748.175,13451.3367,2703.1617
394692,Houston,TX,11135.9801,10223.1182,11143.251,920.1328
395209,Washington,DC,13132.0887,14183.7781,19631.2516,5447.4735
394856,Miami,FL,16604.7528,16507.6691,19916.0852,3408.4161
394347,Atlanta,GA,9976.5871,9057.9949,10597.0116,1539.0167
394404,Boston,MA,18861.8225,19588.9771,26485.9409,6896.9638
395057,San Francisco,CA,32962.7428,29709.8525,46101.9819,16392.1294
394532,Detroit,MI,10174.1477,9668.5641,12014.4322,2345.8681
395025,Riverside,CA,11037.3834,11203.9213,16331.8822,5127.9609
394976,Phoenix,AZ,6447.3625,7166.4748,11373.2841,4206.8093
395078,Seattle,WA,19666.9376,20418.1103,24396.0449,3977.9346
394865,Minneapolis,MN,11438.1161,10915.2876,13644.3449,2729.0573
395056,San Diego,CA,22362.2921,22255.5519,27848.1175,5592.5656
395121,St. Louis,MO,8685.1936,9738.0996,10914.5388,1176.4392
395148,Tampa,FL,8084.8466,8232.3763,9015.3146,782.9383
394358,Baltimore,MD,11434.8541,11852.5449,13404.4857,1551.9408
394530,Denver,CO,12071.3702,10724.1375,13673.6631,2949.5256
394982,Pittsburgh,PA,8955.8676,9469.2427,10873.0396,1403.7969
394998,Portland,OR,13650.6899,12140.4186,17359.1423,5218.7237
394458,Charlotte,NC,9797.3135,8325.6143,12379.3636,4053.7493
395045,Sacramento,CA,14213.6243,15048.3871,16579.8371,1531.45
395055,San Antonio,TX,7940.7549,7433.3439,8444.8523,1011.5084
394943,Orlando,FL,8608.262,9441.7435,9707.8506,266.1071
394466,Cincinnati,OH,9389.7303,9865.5657,10883.0425,1017.4768
394475,Cleveland,OH,9289.8307,9175.6965,10198.9805,1023.284
394735,Kansas City,MO,9122.221,9273.0812,11973.4917,2700.4105
394775,Las Vegas,NV,8657.4837,6773.1997,8574.4304,1801.2307
394492,Columbus,OH,8238.6381,8878.041,10148.1987,1270.1577
394705,Indianapolis,IN,8373.6245,8188.439,9923.3443,1734.9053
395059,San Jose,CA,53518.6962,46531.2544,59332.2372,12800.9828
394355,Austin,TX,9824.0386,9530.415,14697.6782,5167.2632
395194,Virginia Beach,VA,7981.2168,7770.9228,9101.8595,1330.9367
394902,Nashville,TN,10166.8225,9228.6868,12738.4038,3509.717
395005,Providence,RI,13697.6147,14431.3203,20141.3076,5709.9873
394862,Milwaukee,WI,10158.0055,10546.3572,10973.8943,427.5371
394714,Jacksonville,FL,8150.4599,7185.2768,8905.1269,1719.8501
394849,Memphis,TN,7632.0142,8292.2797,9158.301,866.0213
394935,Oklahoma City,OK,6108.325,6455.1811,7358.1094,902.9283
394807,Louisville,KY,8556.3507,7963.2422,9448.3968,1485.1546
394669,Hartford,CT,11345.8989,10597.9792,12933.9045,2335.9253
395022,Richmond,VA,8789.5197,8682.1353,9213.8538,531.7185
394910,New Orleans,LA,10043.7629,8629.5379,10543.7695,1914.2316
394425,Buffalo,NY,10039.2951,10806.5294,12312.8696,1506.3402
395012,Raleigh,NC,8539.9161,7046.9894,9202.3919,2155.4025
394388,Birmingham,AL,10446.9409,9528.9875,10428.9571,899.9696
395053,Salt Lake City,UT,11098.1411,10188.8236,14279.0731,4090.2495
395031,Rochester,NY,9404.1654,9620.5709,12382.5632,2761.9923
394640,Grand Rapids,MI,9438.7845,11141.1576,11950.9252,809.7676
395167,Tucson,AZ,8536.5737,9100.8224,9211.1494,110.327
753924,Urban Honolulu,HI,24853.5877,28010.2412,27199.105,-811.1362
395169,Tulsa,OK,7113.6614,7950.7512,9417.8601,1467.1089
