RegionID,MetroArea,StateAbv,ListPriceYOYChange083118,ListPriceYOYChange083119,ListPriceYOYChange083120,ListPriceYOYChange
394913,New York,NY,549900,569900,629999,60099
753899,Los Angeles,CA,798888,849000,969990,120990
394463,Chicago,IL,329900,329900,349993,20093
394514,Dallas,TX,344000,344900,359900,15000
394974,Philadelphia,PA,274999,298500,348500,50000
394692,Houston,TX,325000,319900,339999,20099
395209,Washington,DC,464900,479990,549000,69010
394856,Miami,FL,399000,400000,399999,-1
394347,Atlanta,GA,329000,334900,354900,20000
394404,Boston,MA,529900,574900,649900,75000
395057,San Francisco,CA,825000,874000,998000,124000
394532,Detroit,MI,249900,257500,285900,28400
395025,Riverside,CA,399999,420000,475000,55000
394976,Phoenix,AZ,344000,365628,407500,41872
395078,Seattle,WA,563000,612500,668000,55500
394865,Minneapolis,MN,349000,350000,374900,24900
395056,San Diego,CA,699995,749000,824900,75900
395121,St. Louis,MO,219000,239900,259827,19927
395148,Tampa,FL,275000,289900,309000,19100
394358,Baltimore,MD,339900,349900,365000,15100
394530,Denver,CO,495000,499900,540000,40100
394982,Pittsburgh,PA,179900,199000,225900,26900
394998,Portland,OR,479900,479900,499900,20000
394458,Charlotte,NC,342000,347900,383537,35637
395045,Sacramento,CA,475000,519000,555000,36000
395055,San Antonio,TX,285500,285000,299900,14900
394943,Orlando,FL,319900,325000,329900,4900
394466,Cincinnati,OH,249900,279000,329000,50000
394475,Cleveland,OH,179900,190000,219000,29000
394735,Kansas City,MO,269900,309900,351000,41100
394775,Las Vegas,NV,345000,324900,347000,22100
394492,Columbus,OH,294900,305000,329900,24900
394705,Indianapolis,IN,259000,274900,314990,40090
395059,San Jose,CA,1149500,1099000,1239888,140888
394355,Austin,TX,380000,367850,435000,67150
395194,Virginia Beach,VA,285000,299900,329900,30000
394902,Nashville,TN,359900,359900,379900,20000
395005,Providence,RI,349900,369900,400000,30100
394862,Milwaukee,WI,265000,295000,299900,4900
394714,Jacksonville,FL,299999,300000,319000,19000
394849,Memphis,TN,215000,231999,259900,27901
394935,Oklahoma City,OK,240000,259900,289500,29600
394807,Louisville,KY,269000,278371,290000,11629
394669,Hartford,CT,289000,299000,339900,40900
395022,Richmond,VA,313490,327000,370000,43000
394910,New Orleans,LA,259900,269000,299900,30900
394425,Buffalo,NY,197500,199900,214000,14100
395012,Raleigh,NC,373000,374900,405000,30100
394388,Birmingham,AL,239900,270000,277135,7135
395053,Salt Lake City,UT,412000,425000,465000,40000
395031,Rochester,NY,194900,220000,248950,28950
