RegionID,MetroArea,StateAbv,MedSalePrice083119,MedSalePrice083120,MedSalePriceYOYChange 
394913,New York,NY,430750,445794,15044
753899,Los Angeles,CA,675000,718000,43000
394463,Chicago,IL,247500,265000,17500
394514,Dallas,TX,278500,300000,21500
394974,Philadelphia,PA,269999,279000,9001
394692,Houston,TX,248500,269900,21400
395209,Washington,DC,425000,462000,37000
394856,Miami,FL,291000,325000,34000
394347,Atlanta,GA,260000,279900,19900
394404,Boston,MA,480000,520000,40000
395057,San Francisco,CA,800000,900000,100000
394532,Detroit,MI,201950,225300,23350
395025,Riverside,CA,377000,410000,33000
394976,Phoenix,AZ,290000,320000,30000
395078,Seattle,WA,484925,550000,65075
394865,Minneapolis,MN,279965,309000,29035
395056,San Diego,CA,585000,640000,55000
395121,St. Louis,MO,192549,217000,24451
395148,Tampa,FL,235000,252600,17600
394358,Baltimore,MD,319000,318000,-1000
394530,Denver,CO,430000,455000,25000
394982,Pittsburgh,PA,185000,199000,14000
394998,Portland,OR,405000,435000,30000
394458,Charlotte,NC,265000,285000,20000
395045,Sacramento,CA,420000,464000,44000
395055,San Antonio,TX,235000,255000,20000
394943,Orlando,FL,262000,274900,12900
394466,Cincinnati,OH,190000,218825,28825
394475,Cleveland,OH,162500,175000,12500
394735,Kansas City,MO,230000,257500,27500
394775,Las Vegas,NV,299995,310000,10005
394492,Columbus,OH,215000,240000,25000
394705,Indianapolis,IN,200000,221000,21000
395059,San Jose,CA,1080000,1145013,65013
394355,Austin,TX,324000,359948,35948
395194,Virginia Beach,VA,262700,279900,17200
394902,Nashville,TN,299000,324500,25500
395005,Providence,RI,300000,320000,20000
394862,Milwaukee,WI,237000,265000,28000
394714,Jacksonville,FL,260268,272500,12232
394849,Memphis,TN,200500,213000,12500
394935,Oklahoma City,OK,185000,202880,17880
394807,Louisville,KY,203000,222600,19600
394669,Hartford,CT,245000,255000,10000
395022,Richmond,VA,266330,284900,18570
394910,New Orleans,LA,215000,232900,17900
394425,Buffalo,NY,173000,185000,12000
395012,Raleigh,NC,295500,310000,14500
394388,Birmingham,AL,204008,225000,20992
395053,Salt Lake City,UT,349000,375000,26000
395031,Rochester,NY,163000,175000,12000
394640,Grand Rapids,MI,215000,237000,22000
395167,Tucson,AZ,225000,249250,24250
753924,Urban Honolulu,HI,626500,600000,-26500
395169,Tulsa,OK,178000,200000,22000
394619,Fresno,CA,280000,314000,34000
395238,Worcester,MA,285000,325000,40000
394415,Stamford,CT,431750,470000,38250
394312,Albuquerque,NM,222500,247250,24750
394308,Albany,NY,212000,210750,-1250
394938,Omaha,NE,210000,231189,21189
394908,New Haven,CT,241000,261750,20750
394357,Bakersfield,CA,245000,263000,18000
394753,Knoxville,TN,212500,235060,22560
394653,Greenville,SC,219900,229700,9800
394952,Ventura,CA,600000,655000,55000
394318,Allentown,PA,214700,225250,10550
394561,El Paso,TX,165000,178475,13475
394367,Baton Rouge,LA,205900,218750,12850
394521,Dayton,OH,149900,163000,13100
394843,McAllen,TX,158500,170000,11500
394486,Columbia,SC,189639,205999,16360
394648,Greensboro,NC,175000,195000,20000
394304,Akron,OH,160000,170000,10000
753906,North Port,FL,275753,296000,20247
394798,Little Rock,AR,169000,185000,16000
395134,Stockton,CA,385000,440000,55000
394457,Charleston,SC,278950,307000,28050
395143,Syracuse,NY,155000,162300,7300
394484,Colorado Springs,CO,322000,370000,48000
395235,Winston,NC,183000,203000,20000
395224,Wichita,KS,168250,180000,11750
395115,Springfield,MA,235000,245000,10000
394440,Fort Myers,FL,230000,255000,25000
394399,Boise City,ID,303000,349925,46925
395160,Toledo,OH,135000,156000,21000
394816,Madison,WI,276250,295000,18750
394766,Lakeland,FL,207000,221950,14950
394931,Ogden,UT,291000,340000,49000
394528,Daytona Beach,FL,220000,245000,25000
394531,Des Moines,IA,221000,232425,11425
394711,Jackson,MS,189900,227900,38000
394352,Augusta,GA,188000,210000,22000
394666,Harrisburg,PA,192000,215500,23500
395006,Provo,UT,325000,359950,34950
394549,Durham,NC,285000,302000,17000
394995,Port St. Lucie,FL,239900,260000,20100
395183,Vallejo,CA,455000,472000,17000
394746,Killeen,TX,168000,190000,22000
395048,Salem,OR,313473,339650,26177
394927,Ocala,FL,166000,173750,7750
394602,Fort Collins,CO,388000,407000,19000
394405,Boulder,CO,550000,580000,30000
394471,Clarksville,TN,200000,219250,19250
394645,Greeley,CO,358900,382500,23600
394813,Macon,GA,141950,169400,27450
394346,Athens,GA,216250,247145,30895
394623,Gainesville,GA,255000,278034,23034
395246,Yuba City,CA,305000,340000,35000
395009,Punta Gorda,FL,214900,239900,25000
395007,Pueblo,CO,205776,240250,34474
395094,Sherman,TX,207000,213000,6000
394546,Dunn,NC,204000,214000,10000
395166,Truckee,CA,464000,617500,153500
395153,The Villages,FL,260217,260000,-217
394586,Faribault,MN,243000,268000,25000
394309,Albemarle,NC,173250,184100,10850
394742,Kerrville,TX,236250,281063,44813
395091,Shelbyville,TN,180000,210000,30000
395230,Wilmington,OH,120000,167000,47000
