RegionID,MetroArea,StateAbv,NewListings083118,NewListings083119,NewListings083120,NewListingsYOYChange
753899,Los Angeles,CA,9264,9623,9835,212
394463,Chicago,IL,11794,11572,16458,4886
394514,Dallas,TX,7987,8123,10318,2195
394692,Houston,TX,8213,8139,9883,1744
394856,Miami,FL,5283,5936,7266,1330
394347,Atlanta,GA,10391,10278,12303,2025
394404,Boston,MA,3849,3816,4478,662
395025,Riverside,CA,5331,6060,6419,359
394976,Phoenix,AZ,,5625,6088,463
394865,Minneapolis,MN,2481,3637,4466,829
395056,San Diego,CA,1311,1344,4087,2743
395121,St. Louis,MO,4082,3884,4797,913
394358,Baltimore,MD,2538,2210,2323,113
394530,Denver,CO,5189,5598,6977,1379
394998,Portland,OR,3790,3685,4611,926
394458,Charlotte,NC,3751,3373,3256,-117
395045,Sacramento,CA,3372,3350,3907,557
395055,San Antonio,TX,,1967,2818,851
394466,Cincinnati,OH,2794,2906,3242,336
394475,Cleveland,OH,2049,2102,2853,751
394775,Las Vegas,NV,2626,2310,2469,159
394492,Columbus,OH,2654,2727,3011,284
394355,Austin,TX,2421,2518,3272,754
394902,Nashville,TN,512,525,359,-166
394714,Jacksonville,FL,,2562,3138,576
394669,Hartford,CT,968,1054,1382,328
394910,New Orleans,LA,765,872,930,58
394425,Buffalo,NY,1194,1182,1440,258
395012,Raleigh,NC,1695,1826,2193,367
394388,Birmingham,AL,1210,1310,1787,477
395031,Rochester,NY,978,1050,1447,397
395167,Tucson,AZ,1692,1253,1406,153
395238,Worcester,MA,982,925,1013,88
394753,Knoxville,TN,1389,1348,1478,130
394653,Greenville,SC,941,1078,1261,183
394952,Ventura,CA,801,877,950,73
394521,Dayton,OH,861,1166,1321,155
394648,Greensboro,NC,,907,993,86
394304,Akron,OH,814,742,986,244
395134,Stockton,CA,792,777,803,26
394457,Charleston,SC,1307,1360,1933,573
394484,Colorado Springs,CO,599,544,369,-175
395115,Springfield,MA,533,600,555,-45
395160,Toledo,OH,793,758,947,189
394666,Harrisburg,PA,435,458,292,-166
394927,Ocala,FL,627,643,706,63
394602,Fort Collins,CO,,618,793,175
394623,Gainesville,GA,275,318,389,71
